name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,4748.010991,25.745441,4722.265550,25.745441,0
root:jackknife:file_io:genotype:transform,454207,1141.470082,1141.470082,0.000000,0.002513,0
root:substract,1,502.404132,502.404132,0.000000,502.404132,0
root:jackknife:bins:compute_gxe:UXXz,400,1034.551913,391.196463,643.355450,0.977991,0
root:trace_estimation,101,384.849909,384.848780,0.001128,3.810384,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,332.789493,332.789493,0.000000,0.831974,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,332.633950,332.633950,0.000000,0.831585,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,293.200732,293.200732,0.000000,0.733002,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,292.952021,292.952021,0.000000,0.732380,0
root:jackknife:file_io:genotype:compute_maf,454207,224.154443,224.154443,0.000000,0.000494,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,117.412065,117.412065,0.000000,0.293530,0
root:jackknife:bins:compute:UXXz,100,89.587165,89.587165,0.000000,0.895872,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,84.422537,84.422537,0.000000,0.844225,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,82.875544,82.875544,0.000000,0.828755,0
root:jackknife:bins:compute_gxe:XXUz,400,724.768761,81.810789,642.957972,0.204527,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,75.503220,75.503220,0.000000,0.755032,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,73.287346,73.287346,0.000000,0.732873,0
root:jackknife:file_io:genotype,100,1432.526303,66.901778,1365.624525,0.669018,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,29.755662,29.755662,0.000000,0.297557,0
root:jackknife:bins:matrix_setup,100,44.078762,29.051741,15.027022,0.290517,0
root:jackknife:bins:compute:XXUz,100,183.697844,19.198912,164.498932,0.191989,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,642.957972,17.372001,625.585972,0.043430,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,643.355450,17.365225,625.990225,0.043413,0
root:jackknife:bins:matrix_setup:matmult_setup,100,15.027022,15.027022,0.000000,0.150270,0
root:jackknife:matrix_setup,100,10.609631,10.609631,0.000000,0.106096,0
root:jackknife:bins:compute:XXUz:XXz,100,164.498932,4.573175,159.925757,0.045732,0
root:jackknife:bins:compute:XXz:XXz,100,160.465378,4.302488,156.162890,0.043025,0
root:jackknife:bins:matrix_cleanup,100,3.521499,3.521499,0.000000,0.035215,0
root:file_io:covariate,1,0.807134,0.807134,0.000000,0.807134,0
root:jackknife:bins:compute_gxe:yXXy,400,118.135761,0.659990,117.475771,0.001650,0
root:file_io,1,1.961738,0.549099,1.412639,0.549099,0
root:initialize,1,0.800593,0.487268,0.313325,0.487268,0
root:jackknife:bins:compute:XXz,100,160.938743,0.473365,160.465378,0.004734,0
root:file_io:environment,1,0.354192,0.354192,0.000000,0.354192,0
root:initialize:covariate_regression,1,0.313325,0.313325,0.000000,0.313325,0
root:file_io:phenotype,1,0.187894,0.187894,0.000000,0.187894,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,117.475771,0.063706,117.412065,0.000159,0
root:file_io:annotation,1,0.063419,0.063419,0.000000,0.063419,0
root:jackknife:bins:compute:yXXy:yXXy,100,29.810340,0.054678,29.755662,0.000547,0
root:jackknife:bins:compute_gxe,100,1877.467302,0.010867,1877.456435,0.000109,0
root:jackknife,100,3832.249179,0.004959,3832.244220,0.000050,0
root:jackknife:bins:compute,200,464.037654,0.003111,464.034543,0.000016,0
root:jackknife:bins,100,2389.108034,0.002817,2389.105218,0.000028,0
root:trace_estimation:linear_solve,101,0.001128,0.001128,0.000000,0.000011,0
root:jackknife:bins:compute:yXXy,100,29.810791,0.000452,29.810340,0.000005,0
root:jackknife:file_io,100,1432.526555,0.000252,1432.526303,0.000003,0
